name,country,latitude,longitude,population,sunrise,sunset,daylight_hours,day_length,status
Surgut,Russia (Siberia),61.25,73.4167,360000,00:00:00,23:59:59,24.0,24:00:00,polar_day
Yakutsk,Russia (Siberia),62.0397,129.7322,269000,00:00:00,23:59:59,24.0,24:00:00,polar_day
Nizhnevartovsk,Russia (Siberia),60.9344,76.5531,251000,00:00:00,23:59:59,24.0,24:00:00,polar_day
Norilsk,Russia (Siberia),69.3558,88.1893,175000,00:00:00,23:59:59,24.0,24:00:00,polar_day
Khanty-Mansiysk,Russia (Siberia),61.0042,69.0019,83000,00:00:00,23:59:59,24.0,24:00:00,polar_day
Tbilisi,Georgia,41.7151,44.8271,1118000,01:26:21,16:38:24,15.200832043055556,15:12:02,success
Baku,Azerbaijan,40.4093,49.8671,2303000,01:10:37,16:13:47,15.052790184166668,15:03:10,success
Yerevan,Armenia,40.1792,44.4991,1086000,01:32:51,16:34:30,15.02744180388889,15:01:38,success
Samarkand,Uzbekistan,39.6542,66.9597,509000,00:04:43,15:02:56,14.970333289166668,14:58:13,success
Dushanbe,Tajikistan,38.5598,68.787,846000,00:00:52,14:52:09,14.854660480833333,14:51:16,success
Tabriz,Iran,38.0962,46.2738,1558693,01:32:22,16:20:47,14.806971042222223,14:48:25,success
Ashgabat,Turkmenistan,37.9601,58.3261,1031000,00:44:34,15:32:09,14.793084626944445,14:47:35,success
Mashhad,Iran,36.2605,59.6168,3001184,00:44:27,15:21:57,14.624876900833334,14:37:29,success
Aleppo,Syria,36.2021,37.1343,2098210,02:14:34,16:51:43,14.619281194166668,14:37:09,success
Tehran,Iran,35.6892,51.389,8693706,01:19:00,15:53:14,14.570312116944445,14:34:13,success
Kabul,Afghanistan,34.5553,69.2075,4434550,00:10:53,14:38:46,14.464673702777779,14:27:52,success
Peshawar,Pakistan,34.0151,71.5249,1970000,00:03:06,14:28:02,14.415553205277778,14:24:55,success
Beirut,Lebanon,33.8938,35.5018,361366,02:27:32,16:51:49,14.404665859444444,14:24:16,success
Damascus,Syria,33.5138,36.2765,1711000,02:25:27,16:47:42,14.37066910888889,14:22:14,success
Baghdad,Iraq,33.3152,44.3661,6719477,01:53:37,16:14:48,14.353034030000002,14:21:10,success
Isfahan,Iran,32.6546,51.668,1961260,01:26:09,15:43:51,14.295068694722223,14:17:42,success
Tel Aviv,Israel,32.0853,34.7818,460613,02:35:11,16:49:56,14.24594286,14:14:45,success
Amman,Jordan,31.9539,35.9106,4007526,02:31:00,16:45:05,14.234701935555556,14:14:04,success
Jerusalem,Israel,31.7683,35.2137,874186,02:34:16,16:47:24,14.218890780277777,14:13:08,success
Faisalabad,Pakistan,31.4504,73.135,3204000,00:03:22,14:14:53,14.191942551111111,14:11:30,success
Basra,Iraq,30.5085,47.7804,2600000,01:47:09,15:53:57,14.113476230277778,14:06:48,success
Shiraz,Iran,29.5918,52.5837,1565572,01:30:10,15:32:30,14.038774800555556,14:02:19,success
Kuwait City,Kuwait,29.3759,47.9774,2989000,01:49:07,15:50:24,14.021418839444443,14:01:17,success
Jaipur,India,26.9124,75.7873,3046000,00:03:38,13:53:23,13.829113376944445,13:49:44,success
Manama,Bahrain,26.2285,50.586,329510,01:46:00,15:32:39,13.777514781944445,13:46:39,success
Doha,Qatar,25.2854,51.531,2382000,01:44:19,15:26:46,13.707476603055555,13:42:26,success
Dubai,UAE,25.2048,55.2708,3355000,01:29:32,15:11:38,13.701547616944445,13:42:05,success
Karachi,Pakistan,24.8607,67.0011,15400000,00:43:22,14:23:57,13.676340604166667,13:40:34,success
Riyadh,Saudi Arabia,24.7136,46.6753,7231447,02:05:00,15:44:56,13.665633913333334,13:39:56,success
Medina,Saudi Arabia,24.5247,39.5692,1300000,02:33:51,16:12:57,13.651913153055554,13:39:06,success
Abu Dhabi,UAE,24.4539,54.3773,1482000,01:34:45,15:13:34,13.64677074527778,13:38:48,success
Muscat,Oman,23.5859,58.4059,1560330,01:20:31,14:55:34,13.584386813055556,13:35:03,success
Ahmedabad,India,23.0225,72.5714,7692000,00:25:02,13:57:42,13.544400218888889,13:32:39,success
Indore,India,22.7196,75.8577,2170000,00:12:32,13:43:55,13.523066437222221,13:31:23,success
Jeddah,Saudi Arabia,21.4858,39.1925,4697000,02:41:47,16:08:02,13.437311968333333,13:26:14,success
Mecca,Saudi Arabia,21.3891,39.8579,1675368,02:39:20,16:05:10,13.430661248888889,13:25:50,success
Surat,India,21.1702,72.8311,6564000,00:27:52,13:52:48,13.415623941388889,13:24:56,success
Nagpur,India,21.1458,79.0882,2405000,00:02:53,13:27:43,13.413949001666667,13:24:50,success
Mumbai,India,19.076,72.8777,19980000,00:31:55,13:48:23,13.274469384166668,13:16:28,success
Pune,India,18.5204,73.8567,6629000,00:29:06,13:43:22,13.23773381,13:14:15,success
Hyderabad,India,17.385,78.4867,9746000,00:12:48,13:22:37,13.163513890277779,13:09:48,success
Sanaa,Yemen,15.3694,44.191,2957000,02:33:53,15:35:56,13.034360663333333,13:02:03,success
Chennai,India,13.0827,80.2707,10971000,00:13:50,13:07:18,12.891301973888888,12:53:28,success
Bangalore,India,12.9716,77.5946,12765000,00:24:45,13:17:49,12.884437668333334,12:53:03,success
Colombo,Sri Lanka,6.9271,79.8612,753000,00:26:36,12:57:49,12.520162916388887,12:31:12,success
Malé,Maldives,4.1755,73.5093,133412,00:56:51,13:18:23,12.358753621666667,12:21:31,success
