name,country,latitude,longitude,population,sunrise,sunset,daylight_hours,day_length
Istanbul,Turkey,41.0082,28.9784,14751000,02:32:11,17:39:22,15.119820671944446,15:07:11
Ankara,Turkey,39.9334,32.8597,5503985,02:20:14,17:20:16,15.000601579722222,15:00:02
Izmir,Turkey,38.4237,27.1428,2847691,02:47:54,17:38:20,14.840628578611112,14:50:26
Tunis,Tunisia,36.8065,10.1815,1056247,04:00:38,18:41:19,14.677988793611112,14:40:40
Algiers,Algeria,36.7538,3.0588,2364230,04:29:17,19:09:39,14.672834965833333,14:40:22
Tehran,Iran,35.6892,51.389,8693706,01:19:00,15:53:14,14.570312116944445,14:34:13
Casablanca,Morocco,33.5731,-7.5898,3359000,05:20:47,19:43:21,14.375988505833332,14:22:33
Baghdad,Iraq,33.3152,44.3661,6719477,01:53:37,16:14:48,14.353034030000002,14:21:10
Tel Aviv,Israel,32.0853,34.7818,460613,02:35:11,16:49:56,14.24594286,14:14:45
Alexandria,Egypt,31.2001,29.9187,5086000,02:56:53,17:07:08,14.170947994166665,14:10:15
Cairo,Egypt,30.0444,31.2357,20076000,02:54:29,16:59:00,14.075470898055555,14:04:31
Dubai,UAE,25.2048,55.2708,3355000,01:29:32,15:11:38,13.701547616944445,13:42:05
Karachi,Pakistan,24.8607,67.0011,15400000,00:43:22,14:23:57,13.676340604166667,13:40:34
Riyadh,Saudi Arabia,24.7136,46.6753,7231447,02:05:00,15:44:56,13.665633913333334,13:39:56
Ahmedabad,India,23.0225,72.5714,7692000,00:25:02,13:57:42,13.544400218888889,13:32:39
Jeddah,Saudi Arabia,21.4858,39.1925,4697000,02:41:47,16:08:02,13.437311968333333,13:26:14
Mumbai,India,19.076,72.8777,19980000,00:31:55,13:48:23,13.274469384166668,13:16:28
Pune,India,18.5204,73.8567,6629000,00:29:06,13:43:22,13.23773381,13:14:15
Hyderabad,India,17.385,78.4867,9746000,00:12:48,13:22:37,13.163513890277779,13:09:48
Dakar,Senegal,14.7167,-17.4677,1146053,06:41:47,19:41:23,12.993197064166667,12:59:35
