name,country,latitude,longitude,population,sunrise,sunset,daylight_hours,day_length,status
Anchorage,United States,61.2181,-149.9003,291000,00:00:00,23:59:59,24.0,24:00:00,polar_day
Fairbanks,United States,64.8378,-147.7164,32000,00:00:00,23:59:59,24.0,24:00:00,polar_day
Whitehorse,Canada,60.7212,-135.0568,28000,00:00:00,23:59:59,24.0,24:00:00,polar_day
Yellowknife,Canada,62.454,-114.3718,20000,00:00:00,23:59:59,24.0,24:00:00,polar_day
Tunis,Tunisia,36.8065,10.1815,1056247,04:00:38,18:41:19,14.677988793611112,14:40:40,success
Algiers,Algeria,36.7538,3.0588,2364230,04:29:17,19:09:39,14.672834965833333,14:40:22,success
Tehran,Iran,35.6892,51.389,8693706,01:19:00,15:53:14,14.570312116944445,14:34:13,success
Casablanca,Morocco,33.5731,-7.5898,3359000,05:20:47,19:43:21,14.375988505833332,14:22:33,success
Baghdad,Iraq,33.3152,44.3661,6719477,01:53:37,16:14:48,14.353034030000002,14:21:10,success
Tel Aviv,Israel,32.0853,34.7818,460613,02:35:11,16:49:56,14.24594286,14:14:45,success
Alexandria,Egypt,31.2001,29.9187,5086000,02:56:53,17:07:08,14.170947994166665,14:10:15,success
Cairo,Egypt,30.0444,31.2357,20076000,02:54:29,16:59:00,14.075470898055555,14:04:31,success
Dubai,UAE,25.2048,55.2708,3355000,01:29:32,15:11:38,13.701547616944445,13:42:05,success
Karachi,Pakistan,24.8607,67.0011,15400000,00:43:22,14:23:57,13.676340604166667,13:40:34,success
Riyadh,Saudi Arabia,24.7136,46.6753,7231447,02:05:00,15:44:56,13.665633913333334,13:39:56,success
Ahmedabad,India,23.0225,72.5714,7692000,00:25:02,13:57:42,13.544400218888889,13:32:39,success
Jeddah,Saudi Arabia,21.4858,39.1925,4697000,02:41:47,16:08:02,13.437311968333333,13:26:14,success
Mumbai,India,19.076,72.8777,19980000,00:31:55,13:48:23,13.274469384166668,13:16:28,success
Pune,India,18.5204,73.8567,6629000,00:29:06,13:43:22,13.23773381,13:14:15,success
Hyderabad,India,17.385,78.4867,9746000,00:12:48,13:22:37,13.163513890277779,13:09:48,success
Dakar,Senegal,14.7167,-17.4677,1146053,06:41:47,19:41:23,12.993197064166667,12:59:35,success
Chennai,India,13.0827,80.2707,10971000,00:13:50,13:07:18,12.891301973888888,12:53:28,success
Bangalore,India,12.9716,77.5946,12765000,00:24:45,13:17:49,12.884437668333334,12:53:03,success
Kano,Nigeria,12.0022,8.592,3626000,05:02:35,17:52:04,12.824857266944445,12:49:29,success
Caracas,Venezuela,10.4806,-66.9036,2935744,10:07:23,22:51:19,12.732325915555554,12:43:56,success
Addis Ababa,Ethiopia,9.145,38.7451,4793699,03:07:08,15:46:15,12.651983333611112,12:39:07,success
Lagos,Nigeria,6.5244,3.3792,13463000,05:33:17,18:03:04,12.496423898055555,12:29:47,success
Medellín,Colombia,6.2442,-75.5812,2508452,10:49:40,23:18:28,12.479932131944445,12:28:47,success
Accra,Ghana,5.6037,-0.187,2291352,05:49:11,18:15:43,12.442296616944445,12:26:32,success
Bogotá,Colombia,4.711,-74.0721,7412566,10:46:20,23:09:44,12.390031905,12:23:24,success
Quito,Ecuador,-0.1807,-78.4678,2011388,11:12:26,23:18:48,12.106060273333332,12:06:21,success
Nairobi,Kenya,-1.2921,36.8219,4397073,03:33:08,15:35:39,12.041822615000001,12:02:30,success
Manaus,Brazil,-3.119,-60.0217,2219580,10:03:44,21:59:54,11.93617583722222,11:56:10,success
Fortaleza,Brazil,-3.7319,-38.5267,2669342,08:38:49,20:32:51,11.900687494722222,11:54:02,success
Kinshasa,DR Congo,-4.4419,15.2663,11855000,05:04:50,16:56:25,11.859531324444445,11:51:34,success
Dar es Salaam,Tanzania,-6.7924,39.2083,6368000,03:33:10,15:16:31,11.722725551666667,11:43:21,success
Recife,Brazil,-8.0476,-34.877,1653461,08:31:45,20:10:42,11.649181904444445,11:38:57,success
Luanda,Angola,-8.839,13.2894,6945000,05:20:27,16:56:37,11.602609087777779,11:36:09,success
Lima,Peru,-12.0464,-77.0428,10719000,11:27:34,22:52:16,11.411611620833332,11:24:41,success
Salvador,Brazil,-12.9711,-38.5108,2886698,08:55:06,20:16:26,11.355762699166666,11:21:20,success
Brasília,Brazil,-15.8267,-47.9218,3094325,09:38:00,20:48:50,11.180449433611113,11:10:49,success
La Paz,Bolivia,-16.5,-68.1193,2300000,11:00:04,22:08:22,11.138400978055556,11:08:18,success
Belo Horizonte,Brazil,-19.9208,-43.9378,2521564,09:29:53,20:25:04,10.919744829999999,10:55:11,success
Rio de Janeiro,Brazil,-22.9068,-43.1729,13293000,09:32:48,20:16:02,10.720636815555556,10:43:14,success
São Paulo,Brazil,-23.5505,-46.6333,21650000,09:47:58,20:28:33,10.67652731611111,10:40:35,success
Johannesburg,South Africa,-26.2041,28.0473,4434827,04:54:48,15:24:11,10.489609727222222,10:29:22,success
Durban,South Africa,-29.8587,31.0218,3442361,04:51:06,15:04:05,10.216337923333334,10:12:58,success
Córdoba,Argentina,-31.4201,-64.1888,1391000,11:15:42,21:21:17,10.09288886388889,10:05:34,success
Rosario,Argentina,-32.9442,-60.6505,1276000,11:05:18,21:03:23,9.968000255,9:58:04,success
Santiago,Chile,-33.4489,-70.6693,6257516,11:46:39,21:42:11,9.925591351666666,9:55:32,success
