name,country,latitude,longitude,population,sunrise,sunset,daylight_hours,day_length
Helsinki,Finland,60.1699,24.9384,658000,00:54:32,19:49:22,18.913935048611112,18:54:50
Saint Petersburg,Russia,59.9311,30.3609,5383000,00:35:35,19:24:55,18.82228945416667,18:49:20
Oslo,Norway,59.9139,10.7522,697000,01:54:13,20:43:10,18.81586292027778,18:48:57
Tallinn,Estonia,59.437,24.7536,437000,01:03:27,19:41:55,18.64091234027778,18:38:27
Stockholm,Sweden,59.3293,18.0686,975000,01:31:21,20:07:31,18.60276202888889,18:36:09
Riga,Latvia,56.9496,24.1052,633000,01:29:28,19:21:05,17.860203700555555,17:51:36
Edinburgh,United Kingdom,55.9533,-3.1883,540000,03:26:36,21:02:19,17.595177880555557,17:35:42
Glasgow,United Kingdom,55.8642,-4.2518,635000,03:31:32,21:05:54,17.572535852222224,17:34:21
Moscow,Russia,55.7558,37.6176,12506000,00:44:52,18:17:34,17.54510393111111,17:32:42
Copenhagen,Denmark,55.6761,12.5683,1378000,02:25:40,19:57:11,17.52522822527778,17:31:30
Newcastle,United Kingdom,54.9783,-1.6178,300000,03:27:30,20:48:51,17.35593121,17:21:21
Vilnius,Lithuania,54.6872,25.2797,574000,01:41:56,18:59:13,17.287878197222224,17:17:16
Minsk,Belarus,53.9045,27.5615,2009000,01:38:05,18:44:49,17.112143294444444,17:06:43
Leeds,United Kingdom,53.8008,-1.5491,793000,03:35:13,20:40:36,17.089655788333335,17:05:22
Hamburg,Germany,53.5511,9.9937,1900000,02:50:39,19:52:48,17.036003305277777,17:02:09
Manchester,United Kingdom,53.4808,-2.2426,547000,03:40:03,20:41:19,17.021095501111112,17:01:15
Dublin,Ireland,53.3498,-6.2603,1388000,03:56:57,20:56:33,16.99347019777778,16:59:36
Berlin,Germany,52.52,13.405,3669000,02:43:22,19:32:48,16.823948025555556,16:49:26
Birmingham,United Kingdom,52.4862,-1.8904,1140000,03:44:45,20:33:47,16.817267768055554,16:49:02
Amsterdam,Netherlands,52.3676,4.9041,872000,03:18:16,20:05:54,16.793830364444446,16:47:37
